Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Valide Mektupları,Telve Kitap,Halid Ziya Uşaklıgil,120.00,93.60,Yok,0.0
Bir Muhtıranın Son Yaprakları,Telve Kitap,Halid Ziya Uşaklıgil,150.00,117.00,Yok,0.0
İstanbul’un Fısıltıları,Telve Kitap,Ahmed Rasim,330.00,257.40,Yok,0.0
Nakil I,Telve Kitap,Halid Ziya Uşaklıgil,220.00,171.60,Yok,0.0
Nakil II,Telve Kitap,Halid Ziya Uşaklıgil,200.00,156.00,Yok,0.0
Sepette Bulunmuş,Telve Kitap,Halid Ziya Uşaklıgil,140.00,109.20,Yok,0.0
"Yaşayan İnsan Hazinesi Aşık Ali Rıza Ezgi Hayatı, Sanatı ve Eserleri",Paradigma Akademi Yayınları,Metin Ekici,580.00,464.00,Yok,0.0
Yayla Sevgisi,Tilge Yayınevi,Sabri Göktürk,270.00,197.10,Yok,0.0
Bu Muydu?,Telve Kitap,Halid Ziya Uşaklıgil,120.00,93.60,Yok,0.0
İki Gelin Odası,Telve Kitap,Mehmed Tevfik,190.00,148.20,Yok,0.0
The Wendigo and Other Stories,Oxford University Press - Classics,Algernon Blackwood,490.00,490.00,Yok,0.0
Büyük Sır,Divit Kitabevi,Lütfi Can Üstel,240.00,163.20,Yok,0.0
Oyun,Divit Kitabevi,Lütfi Can Üstel,180.00,122.40,Yok,0.0
Heyhat,Telve Kitap,Halid Ziya Uşaklıgil,130.00,101.40,Yok,0.0
Lyrical Ballads,Oxford University Press - Classics,William Wordsworth,490.00,490.00,Yok,0.0
Hafif Roman,Kırmızı Kalem Edebiyat,Aşkın Karaduman,440.00,343.20,Yok,0.0
Mrs Dalloway,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Uyudular İki Kez,Kırmızı Kalem Edebiyat,Senem Balaban,160.00,124.80,Yok,0.0
A Room Of One`s Own and Three Guineas,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Necat Çavuş’un Şiiri,Mevsimler Kitap,Bilal Yaşar,450.00,297.00,Yok,0.0
The Waves,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Selected Essays,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Flush,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Dante Verona`da,Artshop Yayıncılık,Dante Gabriel Rossetti,300.00,189.00,Yok,0.0
Tutsak Eylül,Bila Yayıncılık,Burhan Karacan,300.00,189.00,Yok,0.0
Jacob`s Room,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Between The Acts,Oxford University Press - Classics,Virginia Woolf,490.00,490.00,Yok,0.0
Rüzgarın Fısıltısı,Gülnar Yayınları,M. Mustafa Yıldız,250.00,182.50,Yok,0.0
Süreyya,Gülnar Yayınları,Derya Başaran,260.00,189.80,Yok,0.0
Yol Almak,Cinius Yayınları,İnci Önol,370.00,240.50,Yok,0.0
Can Kesiği - 2,Od Kitap,Nagihan Etgü,290.00,226.20,Yok,0.0
Yaşamak,Cinius Yayınları,Elinka Emel Güneş,380.00,247.00,Yok,0.0
Başucu Şiirleri 2,Od Kitap,Abdullah Yılmaz,305.00,237.90,Yok,0.0
Mavi,Klaros Yayınları,Cemre Kılıçarslan,200.00,136.00,Yok,0.0
Girift,Klaros Yayınları,Müge Atadan,350.00,238.00,Yok,0.0
Alakasız Şeyler,Klaros Yayınları,Osman Tuğlu,250.00,170.00,Yok,0.0
Gülüşüne Avuç Açtım,Fırad Yayınları,Müslüm Genç,180.00,122.40,Yok,0.0
Kaybedenlerin Tesellisi,Sidar Yayınları,Burhan Babaoğlu,400.00,272.00,Yok,0.0
Hespen Beriye,Sidar Yayınları,Nihad Şahin,350.00,238.00,Yok,0.0
Mutlu Bir Son,Elips Kitap,Memduh Şevket Esendal,290.00,197.20,Yok,0.0
Bilgeliğin Yedi Sütunu 4. Kitap,Sarmal Kitabevi,Thomas Edward Lawrence,170.00,132.60,Yok,0.0
Gölgede Yetişen Asker,Çatı Kitapları,Özkan Toykar,300.00,264.00,Yok,0.0
Kerizi Fırsata Çevirmek,Armoni Yayıncılık,Göksel Erkılıç,250.00,170.00,Yok,0.0
